player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Alisson,br BRA,GK,Liverpool,28-321,1992,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.33,1.0,1.02,6.0,9.0,66.7,22.0,4.0,22.7,32.6,8.0,50.0,45.8,12.0,0.0,0.0,2.0,2.0,24.3
Daniel Bachmann,at AUT,GK,Watford,27-041,1994,1.0,1.0,90.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,0.78,-0.2,-0.24,7.0,18.0,38.9,24.0,5.0,50.0,41.6,8.0,75.0,55.3,13.0,1.0,7.7,0.0,0.0,11.2
Ederson,br BRA,GK,Manchester City,28-002,1993,1.0,1.0,90.0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.28,-0.4,-0.44,4.0,6.0,66.7,16.0,6.0,31.3,34.9,6.0,16.7,35.2,3.0,0.0,0.0,2.0,2.0,21.4
Łukasz Fabiański,pl POL,GK,West Ham,36-123,1985,1.0,1.0,90.0,2.0,2.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.51,-0.5,-0.48,8.0,20.0,40.0,20.0,2.0,65.0,46.7,11.0,63.6,49.8,17.0,1.0,5.9,0.0,0.0,9.0
David de Gea,es ESP,GK,Manchester Utd,30-285,1990,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.2,-0.4,-0.39,9.0,13.0,69.2,23.0,3.0,17.4,23.4,12.0,75.0,45.4,10.0,0.0,0.0,0.0,0.0,12.0
Vicente Guaita,es ESP,GK,Crystal Palace,34-221,1987,1.0,1.0,90.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.8,0.29,-1.2,-1.24,4.0,11.0,36.4,33.0,5.0,27.3,29.7,8.0,25.0,19.8,10.0,2.0,20.0,0.0,0.0,9.0
Tim Krul,nl NED,GK,Norwich City,33-138,1988,1.0,1.0,90.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.6,0.27,-1.4,-1.4,7.0,21.0,33.3,36.0,4.0,50.0,37.1,8.0,37.5,32.5,11.0,0.0,0.0,1.0,1.0,11.4
Bernd Leno,de GER,GK,Arsenal,29-168,1992,1.0,1.0,90.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8,0.28,-1.2,-1.17,3.0,9.0,33.3,26.0,3.0,19.2,28.8,8.0,50.0,36.3,6.0,0.0,0.0,0.0,0.0,5.5
Hugo Lloris,fr FRA,GK,Tottenham,34-236,1986,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.07,0.3,0.29,13.0,23.0,56.5,17.0,1.0,88.2,51.9,10.0,80.0,54.7,11.0,0.0,0.0,0.0,0.0,14.5
Emiliano Martínez,ar ARG,GK,Aston Villa,28-351,1992,1.0,1.0,90.0,3.0,3.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1,0.16,-1.9,-1.86,6.0,9.0,66.7,26.0,9.0,23.1,28.8,7.0,42.9,42.9,4.0,0.0,0.0,1.0,1.0,15.7
