Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,West Ham,2,2,0,0,8,3,5,6,4.8,2.2,2.5,1.27,W W,,Michail Antonio - 3,Łukasz Fabiański,
2,Chelsea,2,2,0,0,5,0,5,6,3.8,0.6,3.2,1.59,W W,38965.0,"Marcos Alonso, Trevoh Chalobah... - 1",Edouard Mendy,
3,Liverpool,2,2,0,0,5,0,5,6,5.0,2.1,2.8,1.41,W W,52591.0,Diogo Jota - 2,Alisson,
4,Brighton,2,2,0,0,4,1,3,6,2.7,1.9,0.8,0.39,W W,29485.0,Neal Maupay - 2,Robert Sánchez,
5,Tottenham,2,2,0,0,2,0,2,6,2.8,3.3,-0.5,-0.23,W W,58262.0,"Son Heung-min, Dele Alli - 1",Hugo Lloris,
6,Manchester Utd,2,1,1,0,6,2,4,4,2.9,1.4,1.5,0.76,W D,72732.0,Bruno Fernandes - 3,David de Gea,
7,Everton,2,1,1,0,5,3,2,4,4.5,2.2,2.3,1.15,W D,38487.0,Dominic Calvert-Lewin - 2,Jordan Pickford,
8,Brentford,2,1,1,0,2,0,2,4,2.2,2.1,0.1,0.05,W D,16479.0,"Sergi Canós, Christian Nørgaard - 1",David Raya,
9,Manchester City,2,1,0,1,5,1,4,3,4.6,1.4,3.2,1.61,L W,51437.0,"Jack Grealish, Raheem Sterling... - 1",Ederson,
10,Aston Villa,2,1,0,1,4,3,1,3,2.2,1.9,0.2,0.11,L W,41964.0,Danny Ings - 2,Emiliano Martínez,
11,Watford,2,1,0,1,3,4,-1,3,2.0,2.6,-0.6,-0.29,W L,20051.0,"Ismaila Sarr, Cucho... - 1",Daniel Bachmann,
12,Leicester City,2,1,0,1,2,4,-2,3,1.5,3.6,-2.1,-1.04,W L,31983.0,"Jamie Vardy, Youri Tielemans - 1",Kasper Schmeichel,
13,Southampton,2,0,1,1,2,4,-2,1,1.5,3.9,-2.4,-1.18,L D,,Adam Armstrong - 1,Alex McCarthy,
14,Crystal Palace,2,0,1,1,0,3,-3,1,0.9,1.7,-0.9,-0.44,L D,23091.0,,Vicente Guaita,
15,Leeds United,2,0,1,1,3,7,-4,1,2.1,3.6,-1.5,-0.73,L D,,"Luke Ayling, Mateusz Klich... - 1",Illan Meslier,
16,Wolves,2,0,0,2,0,2,-2,0,2.5,2.3,0.2,0.09,L L,,,José Sá,
17,Burnley,2,0,0,2,1,4,-3,0,1.9,4.2,-2.3,-1.15,L L,16910.0,James Tarkowski - 1,Nick Pope,
18,Newcastle Utd,2,0,0,2,2,6,-4,0,2.2,3.3,-1.1,-0.57,L L,50673.0,"Callum Wilson, Jacob Murphy - 1",Freddie Woodman,
19,Arsenal,2,0,0,2,0,4,-4,0,1.8,4.2,-2.4,-1.2,L L,58729.0,,Bernd Leno,
20,Norwich City,2,0,0,2,0,8,-8,0,1.5,4.7,-3.2,-1.61,L L,27023.0,,Tim Krul,
