player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Alisson,br BRA,GK,Liverpool,28-326,1992,2.0,2.0,180.0,0.0,0.0,7.0,7.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.26,1.5,0.76,12.0,22.0,54.5,62.0,9.0,24.2,32.1,14.0,50.0,43.9,22.0,1.0,4.5,3.0,1.5,19.3
Daniel Bachmann,at AUT,GK,Watford,27-046,1994,2.0,2.0,180.0,4.0,2.0,4.0,1.0,25.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.9,0.48,-1.1,-0.56,8.0,23.0,34.8,42.0,8.0,40.5,36.5,16.0,37.5,41.3,21.0,2.0,9.5,0.0,0.0,11.9
Ederson,br BRA,GK,Manchester City,28-007,1993,2.0,2.0,180.0,1.0,0.5,2.0,1.0,50.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,0.28,-0.4,-0.22,7.0,9.0,77.8,26.0,9.0,30.8,32.1,8.0,12.5,33.8,7.0,0.0,0.0,4.0,2.0,19.8
Łukasz Fabiański,pl POL,GK,West Ham,36-128,1985,2.0,2.0,180.0,3.0,1.5,4.0,1.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.1,0.53,-0.9,-0.45,17.0,31.0,54.8,35.0,8.0,60.0,43.8,14.0,71.4,50.1,18.0,1.0,5.6,0.0,0.0,13.7
David de Gea,es ESP,GK,Manchester Utd,30-290,1990,2.0,2.0,180.0,2.0,1.0,6.0,5.0,66.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.9,0.15,-0.1,-0.05,9.0,14.0,64.3,36.0,6.0,13.9,23.9,17.0,52.9,36.3,13.0,0.0,0.0,0.0,0.0,8.3
Vicente Guaita,es ESP,GK,Crystal Palace,34-226,1987,2.0,2.0,180.0,3.0,1.5,9.0,6.0,66.7,0.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.6,0.29,-0.4,-0.21,13.0,33.0,39.4,60.0,10.0,40.0,36.6,19.0,47.4,31.2,16.0,2.0,12.5,0.0,0.0,10.6
Tim Krul,nl NED,GK,Norwich City,33-143,1988,2.0,2.0,180.0,8.0,4.0,10.0,3.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.8,0.48,-2.2,-1.11,14.0,41.0,34.1,85.0,11.0,43.5,36.5,17.0,23.5,28.5,21.0,3.0,14.3,1.0,0.5,10.9
Bernd Leno,de GER,GK,Arsenal,29-173,1992,2.0,2.0,180.0,4.0,2.0,8.0,3.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.1,0.26,-1.9,-0.95,3.0,16.0,18.8,41.0,8.0,24.4,30.6,15.0,40.0,33.7,14.0,2.0,14.3,1.0,0.5,13.3
Hugo Lloris,fr FRA,GK,Tottenham,34-241,1986,2.0,2.0,180.0,0.0,0.0,10.0,10.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.4,0.14,1.4,0.69,21.0,41.0,51.2,30.0,8.0,70.0,46.6,26.0,76.9,55.5,29.0,0.0,0.0,0.0,0.0,13.8
Emiliano Martínez,ar ARG,GK,Aston Villa,28-356,1992,2.0,2.0,180.0,3.0,1.5,8.0,5.0,62.5,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.15,-1.8,-0.92,11.0,21.0,52.4,39.0,9.0,25.6,32.8,17.0,64.7,48.8,18.0,1.0,5.6,3.0,1.5,18.1
Alex McCarthy,eng ENG,GK,Southampton,31-264,1989,2.0,2.0,180.0,4.0,2.0,9.0,5.0,55.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.3,0.48,0.3,0.16,9.0,40.0,22.5,34.0,7.0,64.7,49.3,20.0,90.0,68.2,20.0,2.0,10.0,0.0,0.0,9.5
Edouard Mendy,sn SEN,GK,Chelsea,29-176,1992,2.0,2.0,180.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.03,0.1,0.06,3.0,10.0,30.0,55.0,5.0,18.2,25.4,8.0,0.0,11.5,7.0,0.0,0.0,1.0,0.5,17.2
Illan Meslier,fr FRA,GK,Leeds United,21-175,2000,2.0,2.0,180.0,7.0,3.5,15.0,9.0,60.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.9,0.27,-2.1,-1.05,10.0,26.0,38.5,58.0,16.0,32.8,30.2,18.0,38.9,34.7,7.0,0.0,0.0,3.0,1.5,18.9
Jordan Pickford,eng ENG,GK,Everton,27-170,1994,2.0,2.0,180.0,3.0,1.5,7.0,4.0,57.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.5,0.35,-0.5,-0.27,15.0,53.0,28.3,49.0,8.0,75.5,52.2,17.0,94.1,71.8,19.0,1.0,5.3,1.0,0.5,12.4
Nick Pope,eng ENG,GK,Burnley,29-127,1992,2.0,2.0,180.0,4.0,2.0,14.0,10.0,71.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8,0.27,-0.2,-0.08,15.0,42.0,35.7,41.0,8.0,65.9,53.2,17.0,88.2,67.2,16.0,2.0,12.5,2.0,1.0,16.5
