player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,ENG,DF,Norwich City,21,2000,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.01,0.11,0.13,0.01,0.13,3.0,2.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.02,0.0,0.0,119.0,146.0,81.5,2099.0,603.0,55.0,59.0,93.2,53.0,60.0,88.3,10.0,23.0,43.5,-0.3,4.0,4.0,3.0,1.0,7.0,114.0,32.0,2.0,0.0,15.0,2.0,5.0,0.0,0.0,0.0,0.0,95.0,23.0,28.0,17.0,97.0,1.0,30.0,0.0,2.0,0.0,4.0,3.0,8.0,2.67,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,3.0,0.0,5.0,7.0,71.4,2.0,33.0,9.0,27.3,15.0,15.0,3.0,12.0,3.0,0.0,9.0,5.0,7.0,0.0,188.0,21.0,82.0,86.0,36.0,3.0,156.0,6.0,8.0,75.0,6.0,0.0,111.0,770.0,543.0,16.0,5.0,2.0,124.0,110.0,88.7,3.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,16.0,1.0,7.0,12.5
Che Adams,SCO,FW,Southampton,25,1996,3.0,3.0,250.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.36,0.3,0.3,0.9,0.13,0.32,0.45,0.13,0.45,2.8,4.0,1.0,0.0,25.0,1.44,0.36,0.0,0.0,0.09,-0.3,-0.3,34.0,56.0,60.7,567.0,100.0,16.0,22.0,72.7,13.0,21.0,61.9,3.0,7.0,42.9,0.1,4.0,1.0,2.0,1.0,3.0,53.0,3.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,8.0,12.0,1.0,43.0,2.0,0.0,1.0,0.0,2.0,6.0,1.0,10.0,3.6,5.0,0.0,0.0,0.0,4.0,4.0,2.0,0.72,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,4.0,1.0,2.0,50.0,1.0,55.0,16.0,29.1,6.0,18.0,31.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,99.0,6.0,12.0,42.0,48.0,10.0,96.0,1.0,3.0,33.3,1.0,0.0,59.0,168.0,83.0,3.0,1.0,1.0,147.0,63.0,42.9,7.0,10.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,18.0,10.0,19.0,34.5
Rayan Aït Nouri,FRA,FW,Wolves,20,2001,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,0.1,1.0,0.0,0.0,0.0,12.86,0.0,0.0,0.0,0.03,0.0,0.0,2.0,3.0,66.7,30.0,12.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,1.0,100.0,1.0,0.0,5.0,103.0,85.0,2.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Kristoffer Ajer,NOR,DF,Brentford,23,1998,3.0,3.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.03,0.1,0.13,0.03,0.13,2.8,1.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.08,-0.1,-0.1,72.0,106.0,67.9,1244.0,469.0,30.0,34.0,88.2,32.0,43.0,74.4,6.0,19.0,31.6,-0.3,1.0,2.0,1.0,0.0,6.0,86.0,20.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,33.0,28.0,5.0,63.0,13.0,18.0,1.0,0.0,3.0,3.0,6.0,4.0,1.44,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,0.0,1.0,2.0,4.0,50.0,2.0,30.0,11.0,36.7,12.0,15.0,3.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,134.0,10.0,54.0,64.0,19.0,4.0,115.0,2.0,3.0,66.7,2.0,0.0,57.0,257.0,113.0,4.0,1.0,0.0,65.0,54.0,83.1,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,27.0,9.0,5.0,64.3
Nathan Aké,NED,DF,Manchester City,26,1995,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,-0.2,-0.2,49.0,59.0,83.1,995.0,258.0,13.0,16.0,81.3,30.0,34.0,88.2,6.0,9.0,66.7,0.0,0.0,2.0,0.0,0.0,2.0,59.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,10.0,37.0,16.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,68.0,5.0,33.0,39.0,1.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,44.0,317.0,220.0,5.0,0.0,0.0,52.0,49.0,94.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,100.0
Marc Albrighton,ENG,MF,Leicester City,31,1989,1.0,1.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,1.0,1.0,1.0,0.0,100.0,1.0,1.0,1.0,1.0,0.04,1.0,1.0,15.0,35.0,42.9,211.0,59.0,9.0,9.0,100.0,5.0,10.0,50.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,24.0,11.0,1.0,0.0,6.0,2.0,1.0,9.0,5.0,3.0,1.0,13.0,9.0,13.0,1.0,32.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,4.0,16.7,8.0,10.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,48.0,2.0,8.0,19.0,23.0,2.0,37.0,1.0,4.0,25.0,2.0,0.0,27.0,136.0,60.0,5.0,0.0,2.0,42.0,24.0,57.1,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Thiago Alcántara,ESP,MF,Liverpool,30,1991,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,0.26,0.14,0.26,0.3,1.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.04,0.0,0.0,28.0,34.0,82.4,672.0,134.0,7.0,10.0,70.0,16.0,17.0,94.1,5.0,6.0,83.3,0.0,1.0,5.0,1.0,0.0,4.0,33.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,6.0,3.0,29.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,1.0,5.0,20.0,14.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,26.0,176.0,105.0,8.0,1.0,0.0,29.0,28.0,96.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,100.0
Trent Alexander-Arnold,ENG,DF,Liverpool,22,1998,3.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.2,0.2,1.8,0.06,0.6,0.67,0.06,0.67,3.0,5.0,2.0,1.0,40.0,1.67,0.67,0.0,0.0,0.04,-0.2,-0.2,185.0,238.0,77.7,3689.0,1646.0,80.0,89.0,89.9,67.0,80.0,83.8,36.0,65.0,55.4,-0.8,15.0,17.0,11.0,3.0,26.0,192.0,46.0,5.0,3.0,24.0,17.0,19.0,13.0,1.0,9.0,1.0,119.0,42.0,77.0,16.0,188.0,4.0,28.0,0.0,0.0,2.0,11.0,4.0,21.0,7.0,13.0,7.0,1.0,0.0,0.0,0.0,2.0,0.67,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,4.0,0.0,4.0,11.0,36.4,7.0,35.0,10.0,28.6,16.0,7.0,12.0,5.0,1.0,0.0,4.0,6.0,8.0,0.0,272.0,9.0,58.0,106.0,122.0,11.0,226.0,3.0,7.0,42.9,3.0,0.0,160.0,796.0,480.0,24.0,5.0,3.0,180.0,169.0,93.9,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,4.0,2.0,66.7
Alisson,BRA,GK,Liverpool,28,1992,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,99.0,86.9,2264.0,1337.0,18.0,18.0,100.0,46.0,46.0,100.0,22.0,35.0,62.9,0.0,0.0,0.0,0.0,0.0,0.0,80.0,19.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,74.0,2.0,23.0,8.0,74.0,0.0,0.0,16.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,93.0,109.0,3.0,0.0,0.0,93.0,1.0,1.0,100.0,1.0,0.0,60.0,181.0,115.0,0.0,0.0,0.0,52.0,52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
Allan,BRA,MF,Everton,30,1991,3.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.0,0.0,0.2,0.01,0.08,0.09,0.01,0.09,3.0,1.0,1.0,0.0,100.0,0.33,0.33,0.0,0.0,0.02,0.0,0.0,73.0,91.0,80.2,1339.0,509.0,28.0,36.0,77.8,35.0,39.0,89.7,7.0,11.0,63.6,0.8,4.0,9.0,2.0,1.0,13.0,84.0,7.0,5.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,70.0,5.0,16.0,11.0,79.0,1.0,0.0,0.0,0.0,4.0,5.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.67,2.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,9.0,4.0,0.0,3.0,12.0,25.0,9.0,75.0,29.0,38.7,35.0,33.0,7.0,3.0,2.0,0.0,1.0,3.0,10.0,0.0,129.0,10.0,50.0,62.0,30.0,0.0,122.0,3.0,4.0,75.0,3.0,0.0,74.0,487.0,307.0,10.0,6.0,0.0,56.0,51.0,91.1,2.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,3.0,0.0
