squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,26.0,45.7,6.0,66.0,540.0,5.0,3.0,0.0,0.0,10.0,1.0,0.83,0.5,1.33,0.83,1.33,7.0,7.0,4.6,1.16,0.77,1.93,1.16,1.93,6.0,6.0,540.0,10.0,1.67,26.0,14.0,61.5,3.0,0.0,3.0,2.0,33.3,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,8.7,0.34,-1.3,-0.21,32.0,92.0,34.8,150.0,27.0,36.7,35.9,51.0,72.5,53.8,68.0,5.0,7.4,3.0,0.5,13.6,86.0,23.0,3.0,26.7,14.33,3.83,0.06,0.22,0.09,-2.0,-2.0,2150.0,2633.0,81.7,40923.0,13389.0,906.0,1009.0,89.8,918.0,1052.0,87.3,284.0,489.0,58.1,-1.6,69.0,156.0,55.0,13.0,173.0,2379.0,254.0,62.0,4.0,391.0,72.0,59.0,29.0,6.0,13.0,4.0,1768.0,348.0,517.0,1135.0,1179.0,113.0,96.0,36.0,14.0,41.0,62.0,43.0,147.0,24.5,108.0,15.0,6.0,8.0,7.0,7.0,9.0,1.5,7.0,0.0,0.0,1.0,1.0,1.0,86.0,44.0,42.0,27.0,17.0,31.0,75.0,41.3,44.0,785.0,195.0,24.8,262.0,294.0,229.0,122.0,35.0,0.0,87.0,89.0,124.0,4.0,3372.0,436.0,1181.0,1461.0,951.0,159.0,3123.0,44.0,91.0,48.4,51.0,2.0,2123.0,10900.0,5958.0,229.0,77.0,30.0,2434.0,2150.0,88.3,73.0,61.0,0.0,54.0,52.0,15.0,0.0,0.0,0.0,445.0,110.0,105.0,51.2
Aston Villa,23.0,49.2,6.0,66.0,540.0,8.0,6.0,2.0,2.0,14.0,0.0,1.33,1.0,2.33,1.0,2.0,6.9,5.5,3.7,1.14,0.62,1.76,0.91,1.53,6.0,6.0,540.0,7.0,1.17,19.0,12.0,63.2,3.0,1.0,2.0,3.0,50.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,5.1,0.27,-1.9,-0.32,42.0,102.0,41.2,154.0,26.0,44.8,40.0,55.0,60.0,47.1,49.0,5.0,10.2,9.0,1.5,16.8,66.0,19.0,3.0,28.8,11.0,3.17,0.09,0.32,0.08,1.1,0.5,1797.0,2374.0,75.7,38964.0,14350.0,601.0,706.0,85.1,815.0,954.0,85.4,354.0,626.0,56.5,2.3,44.0,169.0,50.0,14.0,185.0,2081.0,293.0,85.0,4.0,339.0,108.0,84.0,31.0,22.0,7.0,1.0,1403.0,372.0,599.0,794.0,1237.0,130.0,109.0,38.0,9.0,56.0,72.0,60.0,100.0,16.67,57.0,15.0,10.0,7.0,9.0,9.0,14.0,2.33,8.0,3.0,1.0,1.0,1.0,1.0,80.0,51.0,34.0,36.0,10.0,29.0,89.0,32.6,60.0,789.0,211.0,26.7,237.0,347.0,205.0,93.0,32.0,0.0,61.0,93.0,106.0,1.0,3045.0,370.0,993.0,1370.0,856.0,145.0,2759.0,63.0,102.0,61.8,67.0,5.0,1807.0,8397.0,4398.0,174.0,54.0,15.0,2236.0,1797.0,80.4,82.0,62.0,0.0,67.0,77.0,10.0,1.0,1.0,0.0,485.0,100.0,121.0,45.2
Brentford,20.0,41.2,6.0,66.0,540.0,8.0,4.0,1.0,1.0,12.0,1.0,1.33,0.67,2.0,1.17,1.83,8.4,7.6,5.8,1.39,0.96,2.36,1.27,2.23,6.0,6.0,540.0,5.0,0.83,17.0,12.0,70.6,2.0,3.0,1.0,3.0,50.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.4,0.32,0.4,0.07,58.0,160.0,36.3,229.0,30.0,51.1,42.4,52.0,82.7,59.4,56.0,7.0,12.5,10.0,1.67,15.6,58.0,14.0,1.0,24.1,9.67,2.33,0.12,0.5,0.13,-0.4,-0.6,1546.0,2175.0,71.1,31182.0,12576.0,624.0,740.0,84.3,658.0,825.0,79.8,237.0,509.0,46.6,-1.8,44.0,120.0,39.0,9.0,137.0,1912.0,263.0,73.0,7.0,339.0,50.0,51.0,14.0,10.0,1.0,1.0,1212.0,341.0,622.0,701.0,1065.0,138.0,113.0,50.0,11.0,59.0,71.0,74.0,98.0,16.33,72.0,8.0,6.0,6.0,4.0,4.0,9.0,1.5,6.0,0.0,0.0,2.0,1.0,1.0,130.0,85.0,68.0,47.0,15.0,43.0,110.0,39.1,67.0,934.0,279.0,29.9,361.0,390.0,183.0,94.0,15.0,1.0,79.0,93.0,151.0,1.0,2870.0,476.0,1232.0,1143.0,631.0,109.0,2617.0,40.0,67.0,59.7,45.0,4.0,1548.0,7221.0,3825.0,130.0,36.0,13.0,2046.0,1546.0,75.6,59.0,64.0,1.0,59.0,60.0,11.0,1.0,0.0,0.0,487.0,121.0,109.0,52.6
Brighton,20.0,56.0,6.0,66.0,540.0,8.0,7.0,1.0,1.0,14.0,0.0,1.33,1.17,2.5,1.17,2.33,6.0,5.3,3.7,1.0,0.62,1.62,0.88,1.5,6.0,6.0,540.0,5.0,0.83,14.0,11.0,78.6,4.0,1.0,1.0,2.0,33.3,2.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,4.7,0.21,-0.3,-0.05,36.0,116.0,31.0,229.0,32.0,39.7,38.3,43.0,58.1,49.9,63.0,13.0,20.6,3.0,0.5,13.9,64.0,21.0,5.0,32.8,10.67,3.5,0.11,0.33,0.08,2.0,1.7,2713.0,3300.0,82.2,53749.0,16156.0,1025.0,1139.0,90.0,1254.0,1409.0,89.0,386.0,628.0,61.5,3.3,47.0,143.0,45.0,5.0,179.0,3047.0,253.0,55.0,4.0,496.0,94.0,58.0,31.0,9.0,15.0,0.0,2384.0,346.0,570.0,664.0,2297.0,111.0,113.0,50.0,6.0,57.0,89.0,83.0,108.0,18.0,70.0,15.0,6.0,7.0,9.0,9.0,13.0,2.17,8.0,2.0,0.0,1.0,2.0,2.0,134.0,84.0,71.0,41.0,22.0,35.0,75.0,46.7,40.0,959.0,305.0,31.8,364.0,345.0,250.0,100.0,20.0,0.0,80.0,76.0,129.0,0.0,4015.0,497.0,1667.0,1607.0,970.0,134.0,3764.0,45.0,81.0,55.6,48.0,2.0,2582.0,12012.0,6180.0,231.0,68.0,24.0,3166.0,2713.0,85.7,65.0,77.0,0.0,55.0,53.0,7.0,0.0,2.0,0.0,484.0,92.0,105.0,46.7
Burnley,17.0,38.5,6.0,66.0,540.0,4.0,4.0,0.0,0.0,13.0,0.0,0.67,0.67,1.33,0.67,1.33,6.4,6.4,4.3,1.07,0.72,1.79,1.07,1.79,6.0,6.0,540.0,11.0,1.83,28.0,17.0,60.7,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,8.7,0.31,-2.3,-0.38,52.0,130.0,40.0,120.0,23.0,72.5,54.5,49.0,87.8,65.6,50.0,6.0,12.0,7.0,1.17,15.6,73.0,20.0,2.0,27.4,12.17,3.33,0.05,0.2,0.09,-2.4,-2.4,1467.0,2148.0,68.3,31934.0,13314.0,594.0,720.0,82.5,541.0,685.0,79.0,307.0,642.0,47.8,-0.3,51.0,140.0,48.0,20.0,137.0,1861.0,287.0,51.0,4.0,419.0,65.0,92.0,33.0,30.0,0.0,0.0,1019.0,358.0,771.0,720.0,998.0,137.0,137.0,36.0,19.0,46.0,58.0,80.0,105.0,17.5,74.0,13.0,2.0,9.0,5.0,5.0,6.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,104.0,61.0,43.0,44.0,17.0,31.0,76.0,40.8,45.0,732.0,225.0,30.7,228.0,315.0,189.0,123.0,46.0,4.0,77.0,91.0,145.0,2.0,2843.0,345.0,891.0,1229.0,857.0,123.0,2562.0,38.0,68.0,55.9,42.0,1.0,1462.0,7684.0,3538.0,158.0,54.0,8.0,1939.0,1467.0,75.7,63.0,61.0,0.0,58.0,43.0,20.0,0.0,0.0,0.0,536.0,160.0,140.0,53.3
Chelsea,22.0,52.2,6.0,66.0,540.0,12.0,9.0,0.0,0.0,7.0,1.0,2.0,1.5,3.5,2.0,3.5,7.9,7.9,6.5,1.32,1.08,2.41,1.32,2.41,6.0,6.0,540.0,2.0,0.33,21.0,20.0,95.2,4.0,1.0,1.0,4.0,66.7,1.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,3.6,0.14,1.6,0.26,27.0,59.0,45.8,155.0,27.0,27.7,30.0,48.0,33.3,30.4,59.0,6.0,10.2,4.0,0.67,15.2,77.0,26.0,5.0,33.8,12.83,4.33,0.16,0.46,0.1,4.1,4.1,2752.0,3262.0,84.4,51164.0,16292.0,1162.0,1279.0,90.9,1185.0,1327.0,89.3,339.0,530.0,64.0,2.5,59.0,174.0,61.0,10.0,186.0,3003.0,259.0,65.0,16.0,434.0,63.0,77.0,35.0,22.0,4.0,3.0,2400.0,398.0,464.0,696.0,2272.0,90.0,102.0,39.0,8.0,31.0,87.0,66.0,133.0,22.17,110.0,4.0,8.0,3.0,6.0,6.0,22.0,3.67,15.0,2.0,2.0,0.0,2.0,2.0,111.0,67.0,56.0,37.0,18.0,35.0,100.0,35.0,65.0,859.0,252.0,29.3,306.0,368.0,185.0,106.0,26.0,2.0,80.0,99.0,158.0,1.0,4016.0,550.0,1526.0,1740.0,969.0,164.0,3765.0,48.0,84.0,57.1,52.0,1.0,2572.0,11928.0,6348.0,258.0,74.0,31.0,3135.0,2752.0,87.8,61.0,69.0,0.0,61.0,56.0,8.0,0.0,0.0,0.0,441.0,91.0,84.0,52.0
Crystal Palace,18.0,48.8,6.0,66.0,540.0,6.0,3.0,2.0,2.0,8.0,0.0,1.0,0.5,1.5,0.67,1.17,6.2,4.7,3.9,1.04,0.65,1.68,0.79,1.43,6.0,6.0,540.0,9.0,1.5,28.0,19.0,67.9,1.0,3.0,2.0,2.0,33.3,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,7.3,0.26,-1.7,-0.28,33.0,72.0,45.8,138.0,29.0,37.0,34.7,45.0,46.7,33.8,55.0,5.0,9.1,1.0,0.17,11.6,57.0,12.0,3.0,21.1,9.5,2.0,0.07,0.33,0.09,-0.2,-0.7,2271.0,2816.0,80.6,43588.0,13993.0,958.0,1073.0,89.3,959.0,1108.0,86.6,307.0,537.0,57.2,-0.9,41.0,131.0,41.0,13.0,156.0,2524.0,292.0,74.0,3.0,407.0,90.0,62.0,27.0,10.0,8.0,5.0,1832.0,398.0,586.0,598.0,1845.0,119.0,131.0,46.0,8.0,42.0,99.0,45.0,93.0,15.5,65.0,9.0,5.0,3.0,7.0,7.0,12.0,2.0,9.0,0.0,2.0,0.0,1.0,1.0,99.0,56.0,57.0,34.0,8.0,37.0,86.0,43.0,49.0,904.0,236.0,26.1,321.0,370.0,213.0,104.0,27.0,0.0,77.0,81.0,136.0,1.0,3596.0,464.0,1328.0,1605.0,851.0,138.0,3306.0,51.0,93.0,54.8,53.0,4.0,2345.0,10997.0,5515.0,189.0,66.0,24.0,2644.0,2271.0,85.9,107.0,96.0,0.0,66.0,68.0,8.0,1.0,0.0,0.0,481.0,96.0,96.0,50.0
Everton,23.0,42.5,6.0,66.0,540.0,12.0,9.0,3.0,3.0,12.0,0.0,2.0,1.5,3.5,1.5,3.0,10.2,7.9,6.3,1.69,1.05,2.75,1.32,2.37,6.0,6.0,540.0,7.0,1.17,20.0,14.0,65.0,4.0,1.0,1.0,2.0,33.3,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,4.6,0.23,-1.4,-0.24,41.0,129.0,31.8,118.0,20.0,70.3,51.3,57.0,80.7,63.7,48.0,4.0,8.3,2.0,0.33,13.0,78.0,27.0,3.0,34.6,13.0,4.5,0.12,0.33,0.1,1.8,1.1,1677.0,2262.0,74.1,33757.0,12795.0,659.0,781.0,84.4,706.0,855.0,82.6,260.0,495.0,52.5,2.7,64.0,127.0,42.0,11.0,167.0,1975.0,287.0,48.0,7.0,432.0,67.0,56.0,30.0,8.0,15.0,2.0,1323.0,344.0,595.0,645.0,1257.0,123.0,139.0,33.0,5.0,66.0,73.0,84.0,131.0,21.83,103.0,12.0,1.0,6.0,8.0,8.0,20.0,3.33,17.0,0.0,0.0,0.0,3.0,3.0,119.0,72.0,68.0,35.0,16.0,48.0,121.0,39.7,73.0,895.0,273.0,30.5,346.0,345.0,204.0,101.0,28.0,0.0,73.0,85.0,170.0,1.0,3030.0,378.0,1118.0,1199.0,891.0,132.0,2745.0,37.0,80.0,46.3,40.0,5.0,1718.0,9727.0,5287.0,205.0,82.0,29.0,2104.0,1677.0,79.7,71.0,66.0,0.0,60.0,48.0,5.0,3.0,0.0,1.0,481.0,103.0,108.0,48.8
Leeds United,20.0,58.2,6.0,66.0,540.0,6.0,5.0,0.0,0.0,14.0,1.0,1.0,0.83,1.83,1.0,1.83,8.3,8.3,6.2,1.39,1.04,2.42,1.39,2.42,6.0,6.0,540.0,14.0,2.33,39.0,27.0,66.7,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,11.8,0.28,-1.2,-0.21,25.0,70.0,35.7,201.0,50.0,26.9,28.4,53.0,30.2,31.2,33.0,7.0,21.2,5.0,0.83,14.3,86.0,27.0,0.0,31.4,14.33,4.5,0.07,0.22,0.1,-2.3,-2.3,2545.0,3103.0,82.0,51097.0,16165.0,972.0,1101.0,88.3,1160.0,1276.0,90.9,385.0,638.0,60.3,-1.2,65.0,176.0,55.0,16.0,224.0,2819.0,284.0,69.0,4.0,424.0,99.0,84.0,29.0,19.0,4.0,2.0,2095.0,444.0,564.0,1432.0,1353.0,104.0,113.0,66.0,8.0,57.0,92.0,66.0,129.0,21.5,96.0,13.0,5.0,9.0,5.0,5.0,11.0,1.83,8.0,1.0,1.0,1.0,0.0,0.0,114.0,60.0,71.0,34.0,9.0,43.0,97.0,44.3,54.0,968.0,282.0,29.1,346.0,409.0,213.0,91.0,34.0,1.0,57.0,82.0,148.0,5.0,3852.0,520.0,1569.0,1643.0,897.0,156.0,3581.0,46.0,96.0,47.9,53.0,6.0,2497.0,13921.0,8027.0,254.0,71.0,26.0,2994.0,2545.0,85.0,73.0,68.0,0.0,54.0,55.0,10.0,0.0,1.0,1.0,478.0,77.0,100.0,43.5
Leicester City,21.0,54.5,6.0,66.0,540.0,7.0,6.0,0.0,0.0,7.0,1.0,1.17,1.0,2.17,1.17,2.17,8.0,8.0,5.6,1.33,0.94,2.27,1.33,2.27,6.0,6.0,540.0,10.0,1.67,27.0,20.0,70.4,2.0,1.0,3.0,1.0,16.7,2.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,7.6,0.24,-1.4,-0.23,36.0,86.0,41.9,170.0,33.0,40.0,36.7,51.0,35.3,34.2,55.0,3.0,5.5,5.0,0.83,13.8,67.0,16.0,0.0,23.9,11.17,2.67,0.1,0.44,0.12,-1.0,-1.0,2661.0,3197.0,83.2,50322.0,15428.0,1037.0,1155.0,89.8,1272.0,1401.0,90.8,304.0,528.0,57.6,0.4,53.0,149.0,51.0,6.0,207.0,2895.0,302.0,72.0,5.0,410.0,85.0,54.0,36.0,16.0,13.0,2.0,2333.0,404.0,460.0,694.0,2187.0,97.0,127.0,39.0,9.0,56.0,91.0,63.0,107.0,17.83,92.0,6.0,5.0,3.0,1.0,1.0,12.0,2.0,9.0,0.0,2.0,1.0,0.0,0.0,111.0,63.0,52.0,46.0,13.0,47.0,114.0,41.2,67.0,861.0,226.0,26.2,331.0,355.0,175.0,96.0,29.0,0.0,67.0,58.0,154.0,2.0,3886.0,459.0,1418.0,1842.0,851.0,148.0,3596.0,41.0,79.0,51.9,47.0,5.0,2606.0,12459.0,6812.0,263.0,74.0,31.0,3089.0,2661.0,86.1,67.0,75.0,0.0,47.0,50.0,12.0,0.0,2.0,1.0,440.0,88.0,83.0,51.5
Liverpool,21.0,61.0,6.0,66.0,540.0,15.0,10.0,1.0,1.0,6.0,0.0,2.5,1.67,4.17,2.33,4.0,16.9,16.6,11.7,2.82,1.95,4.78,2.77,4.72,6.0,6.0,540.0,4.0,0.67,18.0,14.0,77.8,4.0,2.0,0.0,4.0,66.7,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,5.1,0.3,1.1,0.18,36.0,61.0,59.0,165.0,28.0,25.5,32.2,33.0,57.6,44.6,59.0,6.0,10.2,9.0,1.5,17.1,140.0,42.0,3.0,30.0,23.33,7.0,0.1,0.33,0.12,-1.9,-2.6,2898.0,3489.0,83.1,58619.0,19356.0,1107.0,1229.0,90.1,1287.0,1447.0,88.9,470.0,708.0,66.4,-1.7,96.0,271.0,88.0,22.0,298.0,3209.0,280.0,64.0,10.0,362.0,125.0,97.0,63.0,8.0,46.0,3.0,2433.0,428.0,628.0,976.0,2219.0,99.0,110.0,38.0,12.0,47.0,108.0,79.0,216.0,36.0,150.0,20.0,11.0,26.0,8.0,8.0,23.0,3.83,17.0,1.0,0.0,5.0,0.0,0.0,87.0,53.0,32.0,41.0,14.0,27.0,77.0,35.1,50.0,791.0,222.0,28.1,233.0,327.0,231.0,73.0,18.0,1.0,55.0,70.0,139.0,0.0,4244.0,375.0,1111.0,1955.0,1427.0,254.0,3965.0,45.0,102.0,44.1,48.0,6.0,2760.0,13092.0,7524.0,352.0,94.0,40.0,3330.0,2898.0,87.0,74.0,69.0,0.0,65.0,44.0,12.0,0.0,0.0,0.0,573.0,101.0,82.0,55.2
Manchester City,20.0,66.5,6.0,66.0,540.0,11.0,8.0,0.0,0.0,7.0,0.0,1.83,1.33,3.17,1.83,3.17,13.9,13.9,9.9,2.31,1.65,3.96,2.31,3.96,6.0,6.0,540.0,1.0,0.17,5.0,4.0,80.0,4.0,1.0,1.0,5.0,83.3,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.9,0.18,-0.1,-0.02,20.0,34.0,58.8,139.0,30.0,20.9,29.2,26.0,19.2,33.7,29.0,1.0,3.4,8.0,1.33,18.0,114.0,30.0,3.0,26.3,19.0,5.0,0.1,0.37,0.12,-2.9,-2.9,3464.0,3959.0,87.5,65818.0,18334.0,1384.0,1496.0,92.5,1606.0,1746.0,92.0,442.0,615.0,71.9,-1.9,84.0,283.0,87.0,15.0,280.0,3689.0,270.0,64.0,7.0,433.0,95.0,111.0,60.0,28.0,10.0,3.0,3101.0,386.0,472.0,1255.0,2405.0,99.0,113.0,42.0,12.0,43.0,89.0,79.0,182.0,30.33,146.0,13.0,7.0,9.0,6.0,6.0,16.0,2.67,14.0,0.0,0.0,2.0,0.0,0.0,93.0,60.0,32.0,43.0,18.0,29.0,79.0,36.7,50.0,680.0,200.0,29.4,126.0,314.0,240.0,60.0,20.0,1.0,40.0,63.0,102.0,1.0,4582.0,288.0,932.0,2446.0,1501.0,276.0,4317.0,63.0,105.0,60.0,68.0,7.0,3429.0,17064.0,10075.0,490.0,105.0,74.0,3828.0,3464.0,90.5,65.0,59.0,0.0,52.0,50.0,16.0,0.0,0.0,0.0,455.0,84.0,66.0,56.0
